id;entorno;nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;direccion;lat;lng;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;imagen_1;imagen_2;imagen_3;imagen_4;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion;cuit_contratista;beneficiarios;mano_obra;compromiso;destacada;ba_elige;link_interno;pliego_descarga;expediente-numero;estudio_ambiental_descarga;financiamiento
41;Metrobus del bajo;Metrobus del bajo: paradores - etapa i;Finalizada;Transporte;Secretarí­a de transporte y obras públicas;El metrobus del bajo comprende un corredor vial de 4,8 kilómetros sobre las av. leandro n. alem y av. paseo colón que une los barrios de retiro y la boca. el proyecto se inserta dentro del plan de movilidad sustentable en el cual contempló el rediseño del espacio para darle prioridad al transporte público, la promoción de la movilidad sustentable, el ordenamiento, la seguridad vial y la introducción de tecnologí­as que permiten brindar información en tiempo real. su puesta en funcionamiento redujo un 30 % el tiempo de viaje de las 30 lí­neas de colectivos que prestan servicio a más de 300.000 personas por dí­a.;229538623.0;1;Montserrat;Yrigoyen, hipolito av. y paseo colon av.;-34,6088315;-58,3696578;2017-02-15;2017-07-15;5;100.0;Https://cdn2.buenosaires.gob.ar/baobras/mduyt4/metrobus_del_bajo.jpg;Https://www.youtube.com/watch?v=zxzlnjvg1pw;N/A;N/A;Riva s.a;2016;Licitación pública;1224-sigaf/16;33504596309;300000;350;Si;Si;N/A;Https://www.buenosaires.gob.ar/baobras/metrobus-paseo-colon;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/255;24.603.091-dgtmbr-2016;N/A;N/A
42;Acumar;Camino de sirga ii;Finalizada;Hidráulica e infraestructura;Secretarí­a de transporte y obras públicas;La segunda etapa del camino de sirga se centró en liberar y volver transitable y accesible el margen del riachuelo entre las calles vieytes y av. sáenz. se recuperó para el uso público en ví­as de cumplimentar con lo enunciado en el plan urbano ambiental, donde se indican los rasgos fundamentales que deben desarrollar la ciudad de buenos aires y los principales lineamientos para garantizar el alcance de dichos rasgos. se propuso un parque lineal con un camino vehicular enfocado al tránsito recreativo de las personas, involucrando la construcción de un paseo ribereño, bicisendas, espacios verdes, alumbrado y equipamiento general.;40774370.0;4;Barracas;Zavaleta e iriarte, gral. av.;-34,65106565;-58,40056974;2013-01-08;2017-05-31;52;100.0;Https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/camino_sirga_dos/caminosirga5.jpg;Https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/camino_sirga_dos/caminosirga8.jpg;Https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/camino_sirga_dos/caminosirga2.jpg;N/A;Bricons s.a.i.c.f.i.;2012;Licitación pública;2278/2012;30541068151;4350;23;Si;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/acumar;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/129;1.630.472/2012;N/A;N/A
45;Pasos bajo nivel;Paso bajo nivel balbí­n;Finalizada;Transporte;Secretarí­a de transporte y obras públicas;El paso bajo nivel de av. balbí­n se extiende entre estomba y av. goyeneche, pasando por debajo las ví­as del ferrocarril mitre ramal mitre, a 300 metros de la estación l. m. saavedra del tren. su túnel es doble mano, cuenta con cuatro carriles de circulación, dos por sentido, con una altura libre de paso de 5,10 metros que lo hace apto para tránsito liviano y transporte de pasajeros.;119960000.0;12;Saavedra;Balbin, ricardo, dr. av. y plaza;-34,554901;-58,48627908;2016-06-12;2018-08-02;26;100.0;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/52-1.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/52-2.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/52-3.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/52-4.jpg;Eleprint - construmex ute;2014;Licitación pública;2013-01-0016-00;30714433896;N/A;130;Si;Si;N/A;Https://www.buenosaires.gob.ar/baobras/pasos-bajo-nivel;Https://www.ausa.com.ar/licitaciones-publicas-detalle/?l=64;N/A;N/A;N/A
47;Pasos bajo nivel;Paso bajo nivel nazca;Finalizada;Transporte;Secretarí­a de transporte y obras públicas;El paso bajo nivel de av. nazca se extiende entre pedro lozano y marcos sastre, pasando por debajo las ví­as del ferrocarril san martí­n, a 300 metros de la estación villa del parque del tren. su túnel fue hecho doble mano, contó con cuatro carriles de circulación, dos por sentido, con una altura libre de paso de 5,10 metros, que lo hace apto para tránsito liviano, pesado y transporte público de pasajeros.;174350000.0;11;Villa del parque;Nazca av. y melincue;-34,60072158;-58,4904146;2016-12-12;2018-11-15;23;100.0;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/54-1.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/54-2.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/54-3.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/54-4.jpg;Dycasa sa - fontana nicastro sac - ute;2016;Licitación pública;2016-01-0004-00;30711029245;N/A;120;Si;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/pasos-bajo-nivel;Https://www.ausa.com.ar/licitaciones-publicas-detalle/?l=85;N/A;Https://cdn2.buenosaires.gob.ar/baobras/apra/ex-2013-04564191-mgeya-dget.pdf;N/A
48;Conservatorios e institutos artí­sticos;Conservatorio manuel de falla;Finalizada;Escuelas;Secretarí­a de transporte y obras públicas;La obra del conservatorio manuel de falla constó de la readecuacion de las instalaciones, la puesta en valor y la reparación de la cubierta. fue iniciada originalmente por el ministerio de cultura y transferida posteriormente al ministerio de desarrollo urbano y transporte.;8755881.0;5;Almagro;Gallo 238;-34,60584774;-58,4136474;2016-10-03;2018-01-20;15;100.0;Https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/iconos_arquitectura.jpg;N/A;N/A;N/A;Sunil s.a.;2016;Licitación pública;3028-sigaf-2012;30516354247;N/A;7;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/conservatorios-e-institutos-artisticos;N/A;N/A;N/A;N/A
55;Casa trans;Casa trans;Finalizada;Arquitectura;Secretarí­a de transporte y obras públicas;La obra consistió en la puesta en valor y reciclaje de la planta baja del inmueble contemplando la construcción de nuevos baños, un vestuario, una sala de espera, dos consultorios para atención psicológica, sala de extraccion de sangre para diagnóstico preventivo y las oficinas administrativas de la asociación de travestis, transexuales y transgéneros de la argentina.;3935114.0;3;San cristóbal;Jujuy av. 1341;-34,62562328;-58,40185883;2017-02-08;2017-06-26;4;100.0;Https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_casatrans_foto1.jpg;Https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_casatrans_foto2.png;N/A;N/A;Constructora premart srl;2016;Licitacion privada;79-sigaf-2016;30709331031;N/A;16;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/casa-trans;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/245;N/A;N/A;N/A
56;Oficinas públicas;Edificio hipólito yrigoyen y edificio finochietto: adecuación;Finalizada;Arquitectura;Secretarí­a de transporte y obras públicas;Se realizó la readecuación y relocalización de los inmuebles finochietto e yrigoyen que albergan al instituto de la vivienda de la ciudad y la dirección general de registros de obras y catastros en el barrio de barracas, a la dirección general de administracion de infracciones en el barrio de balvanera, respectivamente.;59761171.0;3;Balvanera;Yrigoyen, hipolito 2346;-34,61090049;-58,3998019;2015-10-29;2016-08-31;10;100.0;Https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_oficinaspublicas_yrigoyenyfinochietto_foto1.jpg;Https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_oficinaspublicas_yrigoyenyfinochietto_foto2.jpg;Https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_oficinaspublicas_yrigoyenyfinochietto_foto3.jpg;N/A;Vidogar construcciones s.a;2015;Licicitación pública ;943-sigaf--2015;30553433564;N/A;8;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/oficinas-publicas;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/201;N/A;N/A;N/A
57;Sistema pluvial la boca  barracas;Estación de bombeo nº5;Finalizada;Hidráulica e infraestructura;Secretarí­a de transporte y obras públicas;El sistema pluvial boca-barracas es un sistema de control y drenaje para evitar las recurrentes inundaciones en los barrios más bajos de la ciudad (boca y barracas), fundamentalmente a raí­z del fenómeno de las sudestadas, que durante un siglo generaron inundaciones, degradando la calidad de vida de sus habitantes y retrasando el desarrollo de esos barrios con respecto al resto de la ciudad. la estación de bombeo 5 en la etapa final de ejecución del sistema contó con 8 bombas axiales de 4,5 m3/seg, 8 compuertas de control de desagí¼e, limpiarrejas, dos estaciones transformadoras de alta tensión, y un sistema de colectores pluviales.;145125053.0;4;Barracas;Regimiento de patricios av. y brandsen;-34,63736836;-58,3696775;2013-08-01;2017-06-15;46;100.0;Https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_pluviallaboca_foto1.jpg;Https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_pluviallaboca_foto2.jpg;N/A;N/A;Mercovial -sabavisa ute;2013;N/A;N/A;30687237346;215000;24;Si;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/sistema-pluvial-la-boca-barracas;N/A;N/A;N/A;N/A
58;Teatro colón;Teatro colón: instituto superior de arte - adecuación del edificio corrientes 1681;Finalizada;Arquitectura;Secretarí­a de transporte y obras públicas;Se realizó la puesta en valor del instituto superior de arte del teatro colón.;15203243.0;1;San nicolás;Corrientes av. 1681;-34,60422151;-58,39050179;2016-12-29;2017-05-30;5;100.0;Https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_teatrocolon_institutosuperiordearte_foto1.jpg;N/A;N/A;N/A;Ingecons s.a.;2016;Licicitación pública ; 875-sigaf-2016;30683399333;N/A;17;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/teatro-colon;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/236;N/A;N/A;N/A
59;Área ambiental central;Área ambiental central: calle peru i;Finalizada;Espacio público;Secretarí­a de transporte y obras públicas;"El proyecto incluyó el tramo entre av. belgrano y av. roca, y consistió en la unificación de los niveles de acera, calzada y la preservación del cordón de granito existente. se agregaron rampas vehiculares y peatonales para salvar desniveles; se reemplazaron las cunetas por rejillas abatibles para el desagí¼e pluvial, se incorporó equipamiento urbano y se rediseño el alumbrado público.";2462636.0;1;Montserrat;Belgrano av. y roca, julio a., presidente diagonal sur av.;-34,61284602;-58,37758842;2016-03-21;2016-07-18;4;100.0;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/71.jpg;N/A;N/A;N/A;Naku construcciones s.r.l;2016;Licitación privada obra menor;17/2015;30575292174;N/A;8;Si;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/area-ambiental-central;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/187;N/A;N/A;N/A
60;Área ambiental central;Área ambiental central: calle peru ii;Finalizada;Espacio público;Secretarí­a de transporte y obras públicas;La obra se extendió sobre la calle perú desde av. belgrano hasta av. independencia. se implementó la nivelación de cruces peatonales en ambos sentidos mejorando la accesibilidad y el tránsito peatonal. además, se contempló la renovación de luminarias y equipamiento urbano.;9133269.0;1;Montserrat;Peru y mexico;-34,61492121;-58,37458344;2016-08-16;2016-12-29;4;100.0;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/72.jpg;N/A;N/A;N/A;Instalectro s.a.;2016;Licitación pública;361-sigaf-2016;33661628729;N/A;11;Si;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/area-ambiental-central;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/215;N/A;N/A;N/A
61;Donado holmberg;Centro de gestión y participación - comuna 12;Finalizada;Arquitectura;Secretarí­a de transporte y obras públicas;La nueva sede de la comuna 12, ubicada en la calle holmberg en villa urquiza, es la sede de la zona que integra a los barrios de coghlan, saavedra, villa urquiza y villa pueyrredón. el edificio tiene tres pisos y permite realizar trámites de manera más cómoda y rápida. opera los servicios de rentas, defensa al consumidor, licencias, infracciones, registro civil, tesorerí­a, mediación comunitaria e intermediación laboral.;36725502.0;12;Villa urquiza;Holmberg 2548;-34,56850705;-58,47772895;2013-10-28;2017-04-17;42;100.0;Https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio154.jpeg;Https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio120.jpg;Https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio121.jpg;Https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio122.jpg;Conorvial s.a;2013;Licitación pública;2590/2012;33504596309;200116;65;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/donado-holmberg;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/133;1956273/2012;N/A;N/A
63;Área ambiental central;Área ambiental central: calle tacuarí­;Finalizada;Espacio público;Secretarí­a de transporte y obras públicas;El proyecto constó de la nivelación de la vereda y la calzada definiendo un carril vehicular de 3.95 m en convivencia con bicisenda y la ampliación de ambas veredas en forma asimétrica. incluyó el tramo que va desde av. de mayo a av. belgrano.;19981404.0;1;Montserrat;Tacuari y alsina, adolfo;-34,61062961;-58,3791274;2016-10-13;2017-08-15;10;100.0;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/75-1.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/75-2.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/75-3.jpg;N/A;Dal construcciones s.a;2016;Licitación pública;423-sigaf/16;30604370171;N/A;28;Si;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/area-ambiental-central;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/218;N/A;N/A;N/A
